,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
1116,1116.0,1116.0,1.0,,,1,Multi-player,1870740
1117,1117.0,1117.0,2.0,,,9,Co-op,1870740
1118,1118.0,1118.0,3.0,,,38,Online Co-op,1870740
1119,1119.0,1119.0,4.0,,,48,LAN Co-op,1870740
1120,1120.0,1120.0,5.0,,,39,Shared/Split Screen Co-op,1870740
1121,1121.0,1121.0,6.0,,,24,Shared/Split Screen,1870740
1122,1122.0,1122.0,7.0,,,27,Cross-Platform Multiplayer,1870740
1123,1123.0,1123.0,8.0,,,21,Downloadable Content,1870740
1124,1124.0,1124.0,9.0,,,18,Partial Controller Support,1870740
1125,1125.0,1125.0,0.0,,,2,Single-player,1870780
1126,1126.0,1126.0,1.0,,,1,Multi-player,1870780
1127,1127.0,1127.0,2.0,,,9,Co-op,1870780
1128,1128.0,1128.0,3.0,,,38,Online Co-op,1870780
1129,1129.0,1129.0,4.0,,,48,LAN Co-op,1870780
1130,1130.0,1130.0,5.0,,,39,Shared/Split Screen Co-op,1870780
1131,1131.0,1131.0,6.0,,,24,Shared/Split Screen,1870780
1132,1132.0,1132.0,7.0,,,27,Cross-Platform Multiplayer,1870780
1133,1133.0,1133.0,8.0,,,21,Downloadable Content,1870780
1134,1134.0,1134.0,9.0,,,18,Partial Controller Support,1870780
1135,1135.0,1135.0,0.0,,,2,Single-player,1870790
1136,1136.0,1136.0,0.0,,,2,Single-player,1870800
1137,1137.0,1137.0,1.0,,,1,Multi-player,1870800
1138,1138.0,1138.0,2.0,,,49,PvP,1870800
1139,1139.0,1139.0,3.0,,,37,Shared/Split Screen PvP,1870800
1140,1140.0,1140.0,4.0,,,24,Shared/Split Screen,1870800
1141,1141.0,1141.0,5.0,,,22,Steam Achievements,1870800
1142,1142.0,1142.0,6.0,,,28,Full controller support,1870800
1143,1143.0,1143.0,7.0,,,44,Remote Play Together,1870800
1144,1144.0,1144.0,0.0,,,22,Steam Achievements,1870810
1145,1145.0,1145.0,0.0,,,2,Single-player,1870820
1146,1146.0,1146.0,1.0,,,10,Game demo,1870820
1147,1147.0,1147.0,2.0,,,18,Partial Controller Support,1870820
1148,1148.0,1148.0,0.0,,,2,Single-player,1870830
1149,1149.0,1149.0,1.0,,,1,Multi-player,1870830
1150,1150.0,1150.0,2.0,,,9,Co-op,1870830
1151,1151.0,1151.0,3.0,,,38,Online Co-op,1870830
1152,1152.0,1152.0,4.0,,,48,LAN Co-op,1870830
1153,1153.0,1153.0,5.0,,,39,Shared/Split Screen Co-op,1870830
1154,1154.0,1154.0,6.0,,,24,Shared/Split Screen,1870830
1155,1155.0,1155.0,7.0,,,27,Cross-Platform Multiplayer,1870830
1156,1156.0,1156.0,8.0,,,21,Downloadable Content,1870830
1157,1157.0,1157.0,9.0,,,18,Partial Controller Support,1870830
1158,1158.0,1158.0,0.0,,,2,Single-player,1870850
1159,1159.0,1159.0,0.0,,,2,Single-player,1870910
1160,1160.0,1160.0,1.0,,,22,Steam Achievements,1870910
